               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.018241,            0.037283,           0.0017323,             0.99888,             0.99931,               0.995,             0.89126,           0.0099205,             0.03231,          0.00071386,           0.0072676,           0.0072676,           0.0072676
                 140,            0.017146,            0.036853,              0.0018,             0.99866,             0.99858,               0.995,             0.89911,            0.010226,            0.032307,          0.00073972,           0.0072478,           0.0072478,           0.0072478
                 141,            0.017888,            0.037726,           0.0020764,             0.99961,             0.99837,               0.995,             0.88434,            0.010583,            0.033306,          0.00085073,            0.007228,            0.007228,            0.007228
                 142,            0.016655,            0.035154,           0.0020406,             0.99874,             0.99487,             0.99461,             0.89803,           0.0099743,            0.032291,          0.00091381,           0.0072082,           0.0072082,           0.0072082
                 143,              0.0167,            0.035598,           0.0019759,             0.99354,             0.99562,             0.99495,             0.89879,             0.01081,            0.033585,          0.00096653,           0.0071884,           0.0071884,           0.0071884
                 144,            0.016438,            0.035056,           0.0016021,             0.98949,             0.99044,             0.99461,             0.90122,            0.010716,            0.033604,            0.001005,           0.0071686,           0.0071686,           0.0071686
                 145,            0.017297,            0.035962,           0.0020483,             0.99304,             0.99005,             0.99487,             0.89824,            0.010926,             0.03373,          0.00098877,           0.0071488,           0.0071488,           0.0071488
                 146,            0.016407,            0.035194,           0.0022421,             0.99781,             0.99575,               0.995,             0.89815,            0.010328,            0.032505,          0.00097661,            0.007129,            0.007129,            0.007129
                 147,            0.017243,             0.03687,           0.0019663,             0.99859,                   1,               0.995,             0.89541,             0.01024,             0.03278,          0.00080291,           0.0071092,           0.0071092,           0.0071092
                 148,             0.01686,            0.035843,           0.0017276,             0.99841,                   1,               0.995,              0.8917,            0.011225,            0.033916,          0.00063908,           0.0070894,           0.0070894,           0.0070894
                 149,             0.01654,            0.035706,           0.0019048,             0.99914,             0.99674,               0.995,             0.90442,           0.0096929,            0.032623,          0.00071118,           0.0070696,           0.0070696,           0.0070696
                 150,            0.015912,            0.035804,           0.0018367,             0.99882,             0.99843,               0.995,             0.90316,           0.0094808,            0.031528,          0.00069534,           0.0070498,           0.0070498,           0.0070498
