                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.40347,                0.23541,                0.82992,                0.97215,                0.96575,                 0.9632,                0.88247,                0.41541,                0.29345,                0.86317,              0.0011036,              0.0011036,              0.0011036
                     94,                 0.4063,                0.24456,                0.83297,                0.97141,                 0.9647,                0.97764,                0.89553,                0.41313,                0.27481,                 0.8495,              0.0011001,              0.0011001,              0.0011001
                     95,                 0.4025,                0.22909,                0.83218,                0.95741,                0.95211,                0.96067,                0.88369,                0.40084,                0.31991,                0.85051,              0.0010965,              0.0010965,              0.0010965
                     96,                 0.4095,                0.22434,                0.82816,                  0.958,                0.95211,                0.95558,                0.88069,                0.42014,                0.34292,                 0.8611,               0.001093,               0.001093,               0.001093
                     97,                0.40748,                0.22918,                0.82815,                0.96545,                0.95517,                0.94848,                0.87304,                0.41114,                0.31342,                0.85791,              0.0010895,              0.0010895,              0.0010895
                     98,                0.39777,                0.23272,                0.82638,                0.96169,                0.95333,                0.96187,                0.88168,                0.40763,                0.31459,                0.84298,              0.0010859,              0.0010859,              0.0010859
                     99,                0.39839,                0.23111,                0.82121,                0.97117,                0.95249,                0.98128,                0.90517,                0.40594,                0.28007,                0.82087,              0.0010824,              0.0010824,              0.0010824
                    100,                0.39185,                0.22528,                0.82129,                0.97014,                0.97045,                0.97724,                0.90042,                0.39673,                0.26806,                0.82418,              0.0010789,              0.0010789,              0.0010789
                    101,                 0.4038,                 0.2231,                0.82545,                0.96953,                0.96525,                0.97392,                0.89592,                 0.4081,                0.28008,                0.84253,              0.0010753,              0.0010753,              0.0010753
                    102,                0.38932,                0.22404,                 0.8215,                0.96651,                0.96318,                0.97552,                0.89841,                0.39759,                0.30102,                0.83818,              0.0010718,              0.0010718,              0.0010718
                    103,                0.40294,                0.23461,                0.83269,                0.97096,                0.96081,                0.98108,                0.90216,                0.40709,                0.29143,                0.85376,              0.0010682,              0.0010682,              0.0010682
                    104,                0.40291,                0.23566,                0.82997,                0.97576,                0.96925,                0.98337,                0.90895,                0.39042,                0.25797,                0.85414,              0.0010647,              0.0010647,              0.0010647
